Parameters;;;;;;;;;;;;;;;
Initial fare for parcel (beta);35000;;Rata2 kecepatan mobil (km/jam);25;;Jam Mulai;08:00;;;;;;;;
Parcel fare per kilometer (gamma2);9000;;Jumlah Route;2;;Jam Berakhir;17:00;;;;;;;;
Cost per kilometer for delivering request (gamma3);8000;;Jumlah Penumpang;3;;;;;;;;;;;
Discount factor / penalty for exceeding direct delivery time of passangers. (gamma4);35000;;Jumlah Barang;4;;;;;;;;;;;
;;;;;;;;;;;;;;;
Type (StartRoute/Passenger/Freight);Initial / Pickup Position;;Destination Position;;PickUp Time Window;;Drop Time Window;;Duration;;;;;;
;X;Y;X;Y;From;To;From;To;;;;;;;
Start Route;;;;;;;;;;;;;;;
Passenger;0;0;0;10;9:30;9:40;11:30;11:50;10;;;;;;
Passenger;10;10;10;-20;10:30;11:40;12:30;13:50;30;;;;;;
Freight;-5;5;15;0;10:00;10:30;11:00;17:00;20,61552813;;;;;;
Start Route;;;;;;;;;0;;;;;;
Passenger;-10;-10;-10;-20;8:00;8:45;8:24;9:33;10;;;;;;
Freight;-6;-6;18;3;9:35;9:45;12:35;17:00;25,63201124;;;;;;
Freight;-6;-15;-8;-20;10:35;11:45;12:35;17:00;5,385164807;;;;;;
Freight;-5;6;5;12;10:05;10:35;11:05;17:00;11,66190379;;;;;;
;;;;;;;;;;0;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
